Model,Condition,Condition Short,Empirical Risk (R),Reconstruction Gap (ε),Pool Mismatch (ηB),Complexity + Concentration,Empirical Subtotal,Total Bound,Random Baseline,P,N,B,eta,epsilon,risk
GPT-2 Small,English (IID),IID,7.3480706214904785,0.21607403457164764,0.23904794411553423,7.055567881910755,7.803192600177661,14.858760482088416,15.617036934287741,24390,70000,16.617036934287743,0.014385714195668697,0.21607403457164764,7.3480706214904785
GPT-2 Small,Corrupted English (Slight-OOD),Slight-OOD,9.891603469848633,0.16055046021938324,0.13602231990188393,7.0555545512438425,10.1881762499699,17.243730801213744,15.617036934287741,24378,70000,16.617036934287743,0.008185714483261108,0.16055046021938324,9.891603469848633
GPT-2 Small,Random Noise (Far-OOD),Far-OOD,16.189430236816406,0.05490737408399582,1.8748765992588936,7.047327909300115,18.119214210159296,25.16654211945941,15.617036934287741,22895,70000,16.617036934287743,0.1128285750746727,0.05490737408399582,16.189430236816406
Gemma-2B,English (IID),IID,6.401544094085693,0.4980168640613556,0.11812973952595626,6.593955980885886,7.017690697673006,13.611646678558891,17.96578428466209,15985,70000,18.96578428466209,0.00622857129201293,0.4980168640613556,6.401544094085693
Gemma-2B,Corrupted English (Slight-OOD),Slight-OOD,9.634156227111816,0.3013484477996826,0.10702120741448876,6.593696386483316,10.042525882325988,16.636222268809306,17.96578428466209,15935,70000,18.96578428466209,0.005642856936901808,0.3013484477996826,9.634156227111816
Gemma-2B,Random Noise (Far-OOD),Far-OOD,18.773300170898438,0.140902578830719,1.8280307241784637,6.584474455825941,20.74223347390762,27.326707929733562,17.96578428466209,15087,70000,18.96578428466209,0.09638571739196777,0.140902578830719,18.773300170898438
