perturbation,random_repeat,target_layer,target_sort,horizon,kl_bits,norm_l2,cosine_distance,mean_delta_norm,relative_delta_norm,Model,patch_layer,patch_hook,batch_index,tokens_in_batch,total_cached_tokens,top_k
sae,-1,4,4,0,1.3630675077438354,0.5596453547477722,0.18639244139194489,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
sae,-1,8,8,4,5.89849328994751,2.0867466926574707,0.7605606317520142,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
sae,-1,12,12,8,5.793887138366699,1.5906128883361816,0.7758896350860596,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
sae,-1,16,16,12,5.9307966232299805,1.3313753604888916,0.7784141302108765,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
sae,-1,20,20,16,8.149086952209473,1.4012458324432373,0.8342703580856323,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
sae,-1,24,24,20,11.068950653076172,1.4172451496124268,0.8740774989128113,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
sae,-1,28,28,24,11.766366958618164,1.4221173524856567,0.9406604766845703,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
sae,-1,30,30,26,12.881607055664062,1.4415439367294312,0.9727767705917358,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
sae,-1,final,9999,full,12.162069320678711,,,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
random_matched_norm,0,4,4,0,0.974985659122467,0.5596070885658264,0.12830021977424622,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
random_matched_norm,0,8,8,4,3.3268239498138428,0.9019052982330322,0.43363916873931885,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
random_matched_norm,0,12,12,8,4.430515289306641,1.052557110786438,0.5880663394927979,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
random_matched_norm,0,16,16,12,4.2732038497924805,1.0128638744354248,0.5741117000579834,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
random_matched_norm,0,20,20,16,5.906224250793457,1.1274596452713013,0.6641298532485962,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
random_matched_norm,0,24,24,20,8.11902141571045,1.1805496215820312,0.7134437561035156,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
random_matched_norm,0,28,28,24,9.610776901245117,1.2297836542129517,0.7594679594039917,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
random_matched_norm,0,30,30,26,9.943039894104004,1.28097665309906,0.7875559329986572,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
random_matched_norm,0,final,9999,full,7.240394592285156,,,13.031392097473145,0.559607982635498,Llama-3.1-8B,4,blocks.4.hook_resid_post,0,512,8192,64
sae,-1,4,4,0,1.179428219795227,0.5240947008132935,0.16190114617347717,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,8192,64
sae,-1,8,8,4,5.710358619689941,2.0152382850646973,0.7444455623626709,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,8192,64
sae,-1,12,12,8,5.437116622924805,1.5471878051757812,0.7524523735046387,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,8192,64
sae,-1,16,16,12,5.670760631561279,1.3066173791885376,0.7646892666816711,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,8192,64
sae,-1,20,20,16,8.56674575805664,1.391480803489685,0.8240457773208618,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,8192,64
sae,-1,24,24,20,12.199113845825195,1.4118869304656982,0.8727529048919678,12.936655044555664,0.5240581035614014,Llama-3.1-8B,4,blocks.4.hook_resid_post,1,512,8192,64
