Model,patch_layer,patch_hook,target_layer,target_sort,horizon,perturbation,top_k,mean_kl_bits,std_kl_bits,mean_norm_l2,std_norm_l2,mean_cosine_distance,std_cosine_distance,mean_delta_norm,mean_relative_delta_norm,n_measurements,total_cached_tokens
Llama-3.1-8B,4,blocks.4.hook_resid_post,4,4,0,random_matched_norm,64,0.9219242259860039,0.034304896608128486,0.5427689738571644,0.01152602214284689,0.12214884907007217,0.0041945985854703076,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,4,4,0,sae,64,1.285721868276596,0.06589823629756804,0.5428035669028759,0.01152540640648559,0.1749422512948513,0.008171869985175205,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,4,4,0,sae_over_random_ratio,64,1.3946068798674949,,1.0000637343830943,,1.4322054823004804,,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,8,8,4,random_matched_norm,64,3.3336059749126434,0.10593726397314612,0.9108055420219898,0.015997954968647917,0.4464745968580246,0.014974650444145568,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,8,8,4,sae,64,5.6705948412418365,0.09339549896109837,2.0559203922748566,0.026797250451071924,0.748103428632021,0.006616315325816574,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,8,8,4,sae_over_random_ratio,64,1.701039320158536,,2.257255031310756,,1.6755789330381812,,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,12,12,8,random_matched_norm,64,4.492533177137375,0.12854413396013037,1.060270257294178,0.01473089685984418,0.6091984063386917,0.014813957818214402,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,12,12,8,sae,64,5.599526941776276,0.11254190694745297,1.569382682442665,0.020554029313324867,0.7613772600889206,0.006407833758929702,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,12,12,8,sae_over_random_ratio,64,1.2464074768044948,,1.4801723161109395,,1.2498017922680236,,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,16,16,12,random_matched_norm,64,4.400229424238205,0.11195380510699242,1.0218889266252518,0.013336094021273127,0.5958439372479916,0.015291294270020588,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,16,16,12,sae,64,5.846805691719055,0.091622593710856,1.3290110900998116,0.01418755713208428,0.7687388844788074,0.00466461880746001,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,16,16,12,sae_over_random_ratio,64,1.3287501918678457,,1.3005435869520758,,1.2901681739506508,,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,20,20,16,random_matched_norm,64,6.471110939979553,0.24138295435006898,1.1505918875336647,0.019322859048668265,0.6976087614893913,0.017370623162870115,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,20,20,16,sae,64,8.534349858760834,0.19201005781619437,1.408976435661316,0.020943096210118153,0.8265021592378616,0.006657755590021475,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,20,20,16,sae_over_random_ratio,64,1.3188384402489937,,1.2245666347270254,,1.1847645913639093,,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,24,24,20,random_matched_norm,64,9.164817154407501,0.40994008127974296,1.2066852524876595,0.02740053740830972,0.7511499561369419,0.018737320544406355,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,24,24,20,sae,64,11.834703922271729,0.3425971099418324,1.4237618669867516,0.03001068711354464,0.8707613982260227,0.005404460839911378,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,24,24,20,sae_over_random_ratio,64,1.2913191526772836,,1.1798949759695618,,1.1592377675214487,,12.971163868904114,0.5427673682570457,16,8192
Llama-3.1-8B,4,blocks.4.hook_resid_post,28,28,24,random_matched_norm,64,10.321037352085114,0.34994424368081045,1.250500999391079,0.02925481921619912,0.7942318432033062,0.019508460412261303,12.971163868904114,0.5427673682570457,16,8192
