Model,Condition,Condition Short,Empirical Risk (R),Reconstruction Gap (ε),Pool Mismatch (ηB),Complexity + Concentration,Empirical Subtotal,Total Bound,Random Baseline,P,N,B,eta,epsilon,risk
GPT-2 Small,English (IID),IID,7.3480706214904785,0.21607403457164764,0.23904794411553423,7.055567881910755,7.803192600177661,14.858760482088416,15.617036934287741,24390,70000,16.617036934287743,0.014385714195668697,0.21607403457164764,7.3480706214904785
GPT-2 Small,Corrupted English (Slight-OOD),Slight-OOD,9.888700485229492,0.16108514368534088,0.20415216392883062,7.055534233807665,10.253937792843663,17.309472026651328,15.617036934287741,24361,70000,16.617036934287743,0.012285714037716389,0.16108514368534088,9.888700485229492
GPT-2 Small,Random Noise (Far-OOD),Far-OOD,16.189455032348633,0.05445995181798935,1.9710179744588707,7.047368048233618,18.214932958625493,25.26230100685911,15.617036934287741,22899,70000,16.617036934287743,0.11861428618431091,0.05445995181798935,16.189455032348633
Gemma-2B,English (IID),IID,6.401544094085693,0.4980168640613556,0.11812973952595626,6.593955980885886,7.017690697673006,13.611646678558891,17.96578428466209,15985,70000,18.96578428466209,0.00622857129201293,0.4980168640613556,6.401544094085693
Gemma-2B,Corrupted English (Slight-OOD),Slight-OOD,9.634069442749023,0.3011760115623474,0.11867162194142322,6.593756160203667,10.053917076252795,16.647673236456463,17.96578428466209,15946,70000,18.96578428466209,0.006257142871618271,0.3011760115623474,9.634069442749023
Gemma-2B,Random Noise (Far-OOD),Far-OOD,18.773679733276367,0.1405802220106125,1.801478600631793,6.585322722660328,20.715738555918772,27.3010612785791,17.96578428466209,15140,70000,18.96578428466209,0.0949857160449028,0.1405802220106125,18.773679733276367
Llama-3.1-8B,English (IID),IID,6.176986217498779,0.9193915128707886,7.106351285489547,17.48282711930317,14.202729015859115,31.685556135162287,16.968666793195208,127004,70000,17.968666793195208,0.3954857289791107,0.9193915128707886,6.176986217498779
Llama-3.1-8B,Corrupted English (Slight-OOD),Slight-OOD,9.652952194213867,0.7018731236457825,9.750055215708004,17.47607288597882,20.104880533567652,37.580953419546475,16.968666793195208,124539,70000,17.968666793195208,0.5426142811775208,0.7018731236457825,9.652952194213867
Llama-3.1-8B,Random Noise (Far-OOD),Far-OOD,17.579952239990234,0.09065892547369003,15.741321940004477,16.964621728932343,33.4119331054684,50.37655483440074,16.968666793195208,88641,70000,17.968666793195208,0.8760428428649902,0.09065892547369003,17.579952239990234
