Model,Layer,TopK,SeqLen,Tokens,N,P,KL_M_vs_SoM,KL_M_vs_hG,Top1Agree_M_vs_SoM,Top1Agree_M_vs_hG,AbsGoldLogProbDiff_M_vs_SoM,AbsGoldLogProbDiff_M_vs_hG,Loss_M,Loss_SoM,Loss_hG,Color
Llama-3.1-8B,12,64,32,320000,10000.0,88634,5.325914572143555,5.325918539428711,0.14783870491981507,0.14784193074703217,5.309094826507568,5.309101763153076,5.29060078125,12.12581875,12.12576875,#1f77b4
Llama-3.1-8B,12,64,32,960000,30000.0,88634,5.335530677541097,5.335528587849935,0.1475892427722613,0.14758709224859873,5.318686211649577,5.318683055623373,5.2858046875,12.133415625,12.133405208333333,#1f77b4
Llama-3.1-8B,12,64,32,1600000,50000.0,88634,5.3392629714965825,5.339260930023193,0.14707999546289444,0.14707547935247423,5.323207491455078,5.323205261230469,5.28608015625,12.138851875,12.138863125,#1f77b4
Llama-3.1-8B,12,64,32,2240000,70000.0,88634,5.3346072180611745,5.334605570874896,0.14721658526829312,0.14721197698797497,5.31758169631958,5.317579188319615,5.288993415178571,12.133869196428572,12.133870089285715,#1f77b4
