Model,Layer,TopK,SeqLen,Tokens,N,P,KL_M_vs_SoM,KL_M_vs_hG,Top1Agree_M_vs_SoM,Top1Agree_M_vs_hG,AbsGoldLogProbDiff_M_vs_SoM,AbsGoldLogProbDiff_M_vs_hG,Loss_M,Loss_SoM,Loss_hG,Color
Llama-3.1-8B,8,64,32,320000,10000.0,84117,7.710709671783447,7.710704132080078,0.00019677418768405914,0.00019677418768405914,7.667709104156494,7.667704423522949,5.29060078125,15.14408125,15.14405,#1f77b4
Llama-3.1-8B,8,64,32,960000,30000.0,84117,7.718320923105876,7.718314716593424,0.00021397848824659984,0.00021397848824659984,7.673977559916178,7.673970275115967,5.2858046875,15.146785416666667,15.146764583333333,#1f77b4
Llama-3.1-8B,8,64,32,1600000,50000.0,84117,7.722848948822022,7.722845223693848,0.00019870967149734496,0.00019870967149734496,7.678472420349121,7.678468167114258,5.28608015625,15.149275,15.14925875,#1f77b4
Llama-3.1-8B,8,64,32,2240000,70000.0,84117,7.722972924368722,7.722970340401786,0.000199078335080828,0.000199078335080828,7.677837978472028,7.677835244750977,5.288993415178571,15.15001607142857,15.150005357142858,#1f77b4
