Model,Layer,TopK,SeqLen,Tokens,N,P,KL_M_vs_SoM,KL_M_vs_hG,Top1Agree_M_vs_SoM,Top1Agree_M_vs_hG,AbsGoldLogProbDiff_M_vs_SoM,AbsGoldLogProbDiff_M_vs_hG,Loss_M,Loss_SoM,Loss_hG,Color
Llama-3.1-8B,24,64,32,320000,10000.0,119707,2.047638377380371,2.047636638069153,0.4655257917881012,0.46552256598472597,2.2746984033584594,2.274694577217102,5.29060078125,7.900425,7.900409375,#1f77b4
Llama-3.1-8B,24,64,32,960000,30000.0,119707,2.053000916926066,2.0530009320576985,0.4653666521549225,0.46536557688713076,2.2815733662923177,2.2815691815694175,5.2858046875,7.9036510416666665,7.903639583333334,#1f77b4
Llama-3.1-8B,24,64,32,1600000,50000.0,119707,2.051597353515625,2.0515991969299314,0.46537417922973634,0.46537353405952453,2.281918492012024,2.2819166022109987,5.28608015625,7.902574375,7.90257625,#1f77b4
Llama-3.1-8B,24,64,32,2240000,70000.0,119707,2.0493305450439454,2.049332899529593,0.46557970907347546,0.46557832657950265,2.2803291852133616,2.2803284245354787,5.288993415178571,7.901618526785715,7.901621205357143,#1f77b4
