Model,Layer,TopK,SeqLen,Tokens,N,P,KL_M_vs_SoM,KL_M_vs_hG,Top1Agree_M_vs_SoM,Top1Agree_M_vs_hG,AbsGoldLogProbDiff_M_vs_SoM,AbsGoldLogProbDiff_M_vs_hG,Loss_M,Loss_SoM,Loss_hG,Color
Llama-3.1-8B,16,64,32,320000,10000.0,88636,4.102463291931152,4.1024667743682866,0.18254838186502456,0.18253870443105696,4.183969131469727,4.1839718292236325,5.29060078125,10.721215625,10.721225,#1f77b4
Llama-3.1-8B,16,64,32,960000,30000.0,88636,4.110902306365967,4.110901017379761,0.18213870423237483,0.18213332789341607,4.190382385889689,4.190382886123658,5.2858046875,10.720816666666666,10.72080625,#1f77b4
Llama-3.1-8B,16,64,32,1600000,50000.0,88636,4.1134691970825195,4.11346986289978,0.1815180590367317,0.1815077364873886,4.194513936538696,4.1945145291137695,5.28608015625,10.723158125,10.72313875,#1f77b4
Llama-3.1-8B,16,64,32,2240000,70000.0,88636,4.111361961909703,4.111360314995902,0.18145391159909113,0.18144561669145312,4.19341694532122,4.1934110395704,5.288993415178571,10.722510714285715,10.722489732142858,#1f77b4
