Model,Layer,TopK,SeqLen,Tokens,N,P,KL_M_vs_SoM,KL_M_vs_hG,Top1Agree_M_vs_SoM,Top1Agree_M_vs_hG,AbsGoldLogProbDiff_M_vs_SoM,AbsGoldLogProbDiff_M_vs_hG,Loss_M,Loss_SoM,Loss_hG,Color
Llama-3.1-8B,4,64,32,320000,10000.0,72752,8.347792653656006,8.347782077026368,0.008483870714902877,0.008483870714902877,8.36839765548706,8.36838910446167,5.29060078125,15.71824375,15.718225,#1f77b4
Llama-3.1-8B,4,64,32,960000,30000.0,72752,8.349346234385173,8.349345198313395,0.00825913953880469,0.008256989001234373,8.368986355082194,8.3689863184611,5.2858046875,15.714904166666667,15.714885416666666,#1f77b4
Llama-3.1-8B,4,64,32,1600000,50000.0,72752,8.352805764923096,8.352805784606934,0.008142580402493476,0.008140644918680192,8.372512998046876,8.37251334991455,5.28608015625,15.71743125,15.7174325,#1f77b4
Llama-3.1-8B,4,64,32,2240000,70000.0,72752,8.352875587790352,8.352875357927594,0.008166359203628131,0.008165437544669423,8.371954545593262,8.371954647609165,5.288993415178571,15.718207142857143,15.71820625,#1f77b4
