Model,Layer,TopK,SeqLen,Tokens,N,P,KL_M_vs_SoM,KL_M_vs_hG,Top1Agree_M_vs_SoM,Top1Agree_M_vs_hG,AbsGoldLogProbDiff_M_vs_SoM,AbsGoldLogProbDiff_M_vs_hG,Loss_M,Loss_SoM,Loss_hG,Color
Llama-3.1-8B,30,64,32,320000,10000.0,130700,0.7682062235832214,0.7682063248634339,0.6704903022766113,0.6704903022766113,0.966542228603363,0.966543737411499,5.29060078125,6.2060578125,6.20605625,#1f77b4
Llama-3.1-8B,30,64,32,960000,30000.0,130700,0.7717173243204752,0.7717166429837545,0.6701268605232239,0.6701311615943909,0.9696344381014506,0.9696332109451294,5.2858046875,6.206319791666667,6.20631875,#1f77b4
Llama-3.1-8B,30,64,32,1600000,50000.0,130700,0.7708905775642395,0.7708897183418274,0.6701999785804749,0.6702025592231751,0.9689698848724365,0.9689686124038697,5.28608015625,6.2049271875,6.2049265625,#1f77b4
Llama-3.1-8B,30,64,32,2240000,70000.0,130700,0.7708086315972464,0.7708082248687744,0.6699350016457694,0.6699363841329302,0.9690140213148934,0.9690134325436184,5.288993415178571,6.207565848214286,6.207567410714286,#1f77b4
