Model,Layer,TopK,SeqLen,Tokens,N,P,KL_M_vs_SoM,KL_M_vs_hG,Top1Agree_M_vs_SoM,Top1Agree_M_vs_hG,AbsGoldLogProbDiff_M_vs_SoM,AbsGoldLogProbDiff_M_vs_hG,Loss_M,Loss_SoM,Loss_hG,Color
Llama-3.1-8B,20,64,32,320000,10000.0,109646,2.6749228134155274,2.6749370082855224,0.3630386983394623,0.36306127901077273,2.8103996017456057,2.8104244417190554,5.29060078125,8.7292125,8.729321875,#1f77b4
Llama-3.1-8B,20,64,32,960000,30000.0,109646,2.6828786851882933,2.6828906041463214,0.3623860105593999,0.36239246218204496,2.818474680010478,2.818488306681315,5.2858046875,8.733127083333333,8.733177083333333,#1f77b4
Llama-3.1-8B,20,64,32,1600000,50000.0,109646,2.683470997009277,2.6834816182327272,0.36206966659545897,0.3620741827201843,2.8212621115493772,2.8212712924194334,5.28608015625,8.7337775,8.7338075,#1f77b4
Llama-3.1-8B,20,64,32,2240000,70000.0,109646,2.6809024206978935,2.6809092168807984,0.36246220113209315,0.362465887764522,2.818937069456918,2.818942659187317,5.288993415178571,8.733054017857143,8.73308080357143,#1f77b4
