Model,Layer,TopK,SeqLen,Tokens,N,P,KL_M_vs_SoM,KL_M_vs_hG,Top1Agree_M_vs_SoM,Top1Agree_M_vs_hG,AbsGoldLogProbDiff_M_vs_SoM,AbsGoldLogProbDiff_M_vs_hG,Loss_M,Loss_SoM,Loss_hG,Color
Llama-3.1-8B,28,64,32,320000,10000.0,126350,2.1097856992721558,2.1097828466415405,0.4966290166378021,0.4966322424411774,2.4023528104782104,2.4023470430374148,5.29060078125,7.837359375,7.83735,#1f77b4
Llama-3.1-8B,28,64,32,960000,30000.0,126350,2.1208095385869346,2.1208093748092653,0.49610858602523805,0.49610751074155174,2.4108404822031657,2.4108401790618896,5.2858046875,7.8403859375,7.840383854166666,#1f77b4
Llama-3.1-8B,28,64,32,1600000,50000.0,126350,2.1182398823165896,2.1182380419540405,0.49621224192619323,0.49621224191665647,2.41106559841156,2.4110649522018432,5.28608015625,7.8386271875,7.8386278125,#1f77b4
Llama-3.1-8B,28,64,32,2240000,70000.0,126350,2.117686183275495,2.117685649381365,0.4964820115702493,0.49648201156343735,2.4115203147343225,2.411521136883327,5.288993415178571,7.840819419642857,7.8408203125,#1f77b4
