R_hat_hG,eps_loss_hat,eta_hat,B,delta,m,N,P
10.7209,5.44107,0.0499,17.968666793195208,0.05,131072,10000.0,88636
10.720504,5.449153,0.0516,17.968666793195208,0.05,131072,30000.0,88636
10.7228,5.4507737,0.05238,17.968666793195208,0.05,131072,50000.0,88636
10.722164,5.448176,0.051757142,17.968666793195208,0.05,131072,70000.0,88636
