Model,Layer,N,Total Bound,Random Baseline,P,Risk,Color
Llama-3.1-8B,24,10000.0,56.90824331057351,16.968666793195208,119707,7.900469,#1f77b4
Llama-3.1-8B,24,30000.0,37.39867077581583,16.968666793195208,119707,7.903736,#1f77b4
Llama-3.1-8B,24,50000.0,31.387436324982442,16.968666793195208,119707,7.9026723,#1f77b4
Llama-3.1-8B,24,70000.0,28.18719684332746,16.968666793195208,119707,7.9018025,#1f77b4
