R_hat_hG,eps_loss_hat,eta_hat,B,delta,m,N,P
15.140769,9.848363,0.0136,17.968666793195208,0.05,131072,10000.0,84117
15.143432,9.855759,0.014466667,17.968666793195208,0.05,131072,30000.0,84117
15.145927,9.858077,0.01424,17.968666793195208,0.05,131072,50000.0,84117
15.146634,9.855838,0.014214286,17.968666793195208,0.05,131072,70000.0,84117
