Model,Layer,N,Total Bound,Random Baseline,P,Risk,Color
Llama-3.1-8B,16,10000.0,61.942422934159865,16.968666793195208,88636,10.7209,#1f77b4
Llama-3.1-8B,16,30000.0,43.0105234375165,16.968666793195208,88636,10.720504,#1f77b4
Llama-3.1-8B,16,50000.0,37.1874260868756,16.968666793195208,88636,10.7228,#1f77b4
Llama-3.1-8B,16,70000.0,34.06483441163981,16.968666793195208,88636,10.722164,#1f77b4
