Model,Layer,N,Total Bound,Random Baseline,P,Risk,Color
Llama-3.1-8B,28,10000.0,56.796413004167384,16.968666793195208,126350,7.837236,#1f77b4
Llama-3.1-8B,28,30000.0,37.26714824197417,16.968666793195208,126350,7.8400702,#1f77b4
Llama-3.1-8B,28,50000.0,31.23722780348263,16.968666793195208,126350,7.8382373,#1f77b4
Llama-3.1-8B,28,70000.0,28.034699351140947,16.968666793195208,126350,7.8403993,#1f77b4
