R_hat_hG,eps_loss_hat,eta_hat,B,delta,m,N,P
15.713263,10.420872,0.0089,17.968666793195208,0.05,131072,10000.0,72752
15.7100935,10.422464,0.008733333,17.968666793195208,0.05,131072,30000.0,72752
15.712611,10.424759,0.00896,17.968666793195208,0.05,131072,50000.0,72752
15.713289,10.422542,0.009014286,17.968666793195208,0.05,131072,70000.0,72752
