Model,Layer,N,Total Bound,Random Baseline,P,Risk,Color
Llama-3.1-8B,30,10000.0,53.4407844342561,16.968666793195208,130700,6.2071548,#1f77b4
Llama-3.1-8B,30,30000.0,33.91186268816793,16.968666793195208,130700,6.207422,#1f77b4
Llama-3.1-8B,30,50000.0,27.89156866938539,16.968666793195208,130700,6.206042,#1f77b4
Llama-3.1-8B,30,70000.0,24.689307587902842,16.968666793195208,130700,6.208681,#1f77b4
